Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10n,C_0603_1608Metric,159,-88,270,bottom
FPC1,~,FPC-SMD_AFC07-S05FCC-00,162,-85.621,180,bottom
R1,4.7k,R_0402_1005Metric,165.5,-87.46,90,bottom
R2,4.7k,R_0402_1005Metric,161.76,-88.5,0,bottom
U1,MLX90632SLD-DCB-000-RE,MLX90632,161.85,-87,0,top
