Comment,Designator,Footprint,LCSC,Quantity
10n,C1,C_0603_1608Metric,C77063,1
4.7k,"R1,R2",R_0402_1005Metric,C281778,2
MLX90632SLD-DCB-000-RE,U1,MLX90632,C7541116,1
~,FPC1,FPC-SMD_AFC07-S05FCC-00,C262199,1
